ID,target,age,gender,bekerja,mempunyai bisnis,harta warisan,punya motor,punya mobil,punya emas,punya gas 12kg,punya gas 12kg,punya laptop,punya komputer,punya microwave,histology
30,2,51,1,1,1,1,1,2,2,2,2,2,2,2,1
31,1,39,1,1,1,1,1,2,2,1,2,2,2,2,1
32,1,62,1,1,2,1,1,2,?,?,2,2,2,2,1
33,2,41,2,2,1,1,1,1,2,2,2,2,2,2,1
34,2,26,2,1,2,2,2,2,2,1,2,2,2,2,1
35,2,35,1,2,2,1,2,2,2,2,2,2,2,2,1
36,1,37,1,2,2,1,2,2,2,2,2,1,2,2,1
37,2,23,1,2,2,1,1,1,2,2,1,2,2,2,1
38,2,20,2,1,2,1,1,1,1,1,1,1,2,2,1
39,2,42,1,1,2,2,2,2,2,2,2,2,2,2,1
40,2,65,1,2,2,1,1,2,2,1,1,1,1,2,2
41,2,52,1,1,1,2,2,2,2,2,2,2,2,2,1
42,2,23,1,2,2,2,2,2,?,?,?,?,?,?,1
43,2,33,1,2,2,2,2,2,2,2,2,2,2,2,1
44,2,56,1,1,2,1,2,2,2,2,2,2,2,2,1
45,2,34,1,2,2,2,2,2,2,2,2,2,2,2,1
46,2,28,1,2,2,1,1,2,2,2,2,2,2,2,1
47,2,37,1,1,2,2,2,2,2,1,2,1,2,2,1
48,2,28,2,2,2,1,1,2,2,1,2,2,2,2,1
49,2,36,1,1,2,2,2,2,2,2,1,2,2,2,1
50,2,38,1,2,1,1,1,1,2,2,2,1,2,2,1
51,2,39,1,1,2,2,2,2,2,2,2,2,2,2,1
52,2,39,1,2,2,2,2,2,2,2,2,2,2,2,1
53,2,44,1,2,2,2,2,2,2,2,2,2,2,2,1
54,2,40,1,2,1,1,2,2,2,1,1,2,2,2,1
55,2,30,1,2,2,1,2,2,2,2,2,2,2,2,1
56,2,37,1,1,2,1,1,1,2,2,2,2,2,2,1
57,2,34,1,1,2,?,?,?,?,?,?,?,?,?,1
58,2,30,1,2,1,2,2,2,2,2,2,2,2,2,1
59,2,64,1,2,1,1,1,2,1,1,2,2,2,2,1
60,2,45,2,1,2,1,1,2,2,2,1,2,2,2,1
61,2,37,1,2,2,2,2,2,2,2,2,2,2,2,1
62,2,32,1,2,2,2,2,2,2,2,2,2,2,2,1
63,2,32,1,2,2,1,1,1,2,2,2,1,2,1,1
64,2,36,1,1,2,2,2,2,1,1,1,2,2,2,1
65,2,49,1,2,2,1,1,2,2,2,2,2,2,2,1
66,2,27,1,2,2,2,2,2,2,2,2,2,2,2,1
67,2,56,1,1,2,2,2,2,2,2,2,2,2,2,1
68,1,57,1,2,2,1,1,1,2,2,2,1,1,2,1
69,2,39,1,2,2,1,2,2,2,2,2,2,2,2,1
70,2,44,1,1,2,1,1,2,2,2,2,2,2,2,1
71,2,24,1,2,2,2,2,2,2,2,2,2,2,2,1
72,1,34,1,1,2,1,1,2,1,1,2,1,2,2,1
73,2,51,1,2,2,1,1,1,?,?,?,?,?,?,1
74,2,36,1,1,2,1,1,1,2,1,2,2,2,2,1
75,2,50,1,2,2,2,2,2,2,2,2,2,2,2,1
76,2,32,1,1,1,1,1,2,2,2,2,2,2,2,1
77,1,58,1,2,2,1,2,2,1,1,1,1,2,2,1
78,2,34,2,1,1,2,2,2,2,1,2,2,2,2,1
79,2,34,1,1,2,1,2,2,1,1,2,1,2,2,1
80,2,28,1,2,2,2,2,2,2,2,2,2,2,2,1
81,2,23,1,2,2,1,1,1,2,2,2,2,2,2,1
82,2,36,1,2,2,2,2,2,2,2,2,2,2,2,1
83,2,30,1,1,2,2,2,2,2,2,2,2,2,2,1
84,2,67,2,1,2,1,1,2,2,2,?,?,?,?,1
85,2,62,2,2,2,1,1,2,2,1,2,1,2,2,1
86,2,28,1,1,2,1,1,1,2,1,2,2,2,2,1
87,1,44,1,1,2,1,1,2,2,2,1,2,2,1,2
88,1,30,1,2,2,1,1,1,2,1,2,1,1,1,2
89,1,38,1,1,2,1,1,1,2,1,2,1,1,1,2
90,2,38,1,1,2,1,1,1,1,1,2,2,2,2,2
91,2,50,2,1,2,1,2,2,1,1,1,1,2,2,2
92,1,42,1,1,2,1,1,1,2,2,1,1,2,1,2
93,2,33,1,2,2,2,2,2,?,?,2,2,2,2,2
94,2,52,1,1,2,2,2,2,2,2,2,2,2,2,2
95,1,59,1,1,2,1,1,2,2,1,1,1,2,2,2
96,2,40,1,1,1,1,1,1,1,1,2,2,2,2,2
97,2,30,1,1,2,1,1,2,2,1,2,1,2,2,2
98,2,44,1,1,2,1,1,2,1,1,2,1,2,2,2
99,1,47,1,2,2,2,2,2,2,2,2,1,2,1,2
100,2,60,1,1,2,1,2,2,1,1,1,1,2,2,2
101,1,48,1,1,2,1,1,2,2,1,2,1,1,1,2
102,2,22,1,2,2,2,2,2,2,2,2,2,2,2,2
103,2,27,1,1,2,1,2,2,2,1,2,2,2,2,2
104,2,51,1,1,2,1,1,1,2,1,1,1,2,1,2
105,1,47,1,2,2,1,1,2,2,1,2,2,1,1,2
106,2,25,1,2,2,2,2,2,2,2,2,2,2,2,2
107,1,35,1,1,2,1,2,2,?,?,1,1,1,2,2
108,2,45,1,1,2,1,1,1,2,2,2,2,2,2,2
109,2,54,1,1,1,2,2,2,1,1,2,2,2,2,2
110,1,33,1,1,2,1,1,2,2,2,2,2,1,2,2
111,2,7,1,2,2,2,2,2,2,1,1,2,2,2,2
112,1,42,1,1,1,1,1,2,2,2,2,1,2,2,2
113,2,52,1,1,2,1,2,2,2,2,2,2,2,2,2
114,2,45,1,1,2,1,2,2,2,1,1,2,2,2,1
115,2,36,1,1,2,2,2,2,2,2,2,2,2,2,2
116,2,69,2,2,2,1,2,2,2,2,2,2,2,2,2
117,2,24,1,1,2,1,2,2,2,2,2,2,2,2,2
118,2,50,1,2,2,2,2,2,2,2,2,2,2,2,2
119,1,61,1,1,2,1,1,2,?,?,2,1,2,2,2
120,2,54,1,2,2,1,2,2,1,1,2,2,2,2,2
121,1,56,1,1,2,1,1,1,1,1,2,1,2,2,2
122,2,20,1,1,2,1,1,1,2,2,2,1,1,2,2
123,2,42,1,2,2,2,2,2,2,2,1,2,2,2,2
124,2,37,1,1,2,1,2,2,2,2,2,1,2,2,2
125,2,50,1,2,2,2,2,2,2,1,1,1,2,2,2
126,2,34,2,2,2,1,1,1,1,1,2,1,2,2,2
127,2,28,1,2,2,1,1,1,?,?,2,1,1,2,2
128,1,50,1,2,2,1,2,2,2,1,1,2,1,1,2
129,2,54,1,1,2,1,1,2,2,2,2,2,1,2,2
130,1,57,1,1,2,1,1,2,2,2,2,1,1,2,2
131,2,54,1,2,2,2,2,2,2,2,2,2,2,2,2
132,1,31,1,1,2,1,1,1,2,2,1,2,2,2,2
133,2,48,1,2,2,1,1,1,2,1,2,1,2,2,2
134,2,72,1,2,1,1,2,2,2,1,2,2,2,2,2
135,1,38,1,1,2,2,2,2,2,1,2,2,2,2,2
136,2,25,1,2,2,1,2,2,1,1,1,1,1,1,2
137,2,51,1,2,2,2,2,2,1,1,2,1,2,2,2
138,2,38,1,2,2,2,2,2,2,1,2,1,2,1,2
139,1,47,1,2,2,1,1,2,2,1,2,1,1,1,2
140,2,45,1,2,1,2,2,2,2,2,2,2,2,2,2
141,2,36,1,1,2,1,1,1,1,1,2,1,2,1,2
142,1,54,1,1,2,1,1,2,?,?,1,2,1,2,2
143,2,51,1,2,2,1,2,2,2,1,1,1,2,1,2
144,1,49,1,1,2,1,1,2,2,2,1,1,2,2,2
145,1,45,1,2,2,1,1,1,2,2,2,1,1,2,2
146,2,31,1,1,2,1,2,2,2,2,2,2,2,2,2
147,1,41,1,2,2,1,2,2,2,1,1,1,2,1,2
148,1,70,1,1,2,1,1,1,?,?,?,?,?,?,2
149,2,20,1,1,2,2,2,2,2,?,2,2,2,2,2
150,2,36,1,2,2,2,2,2,2,2,2,2,2,2,2
151,1,46,1,2,2,1,1,1,2,2,2,1,1,1,2
152,2,44,1,2,2,1,2,2,2,1,2,2,2,2,2
153,2,61,1,1,2,1,1,2,1,1,2,1,2,2,2
154,2,53,2,1,2,1,2,2,2,2,1,1,2,1,2
155,1,43,1,2,2,1,2,2,2,2,1,1,1,2,2
